m0,m12,A0,tanbeta,tanbetaR,VR,signmuR,Ys,Yv,neutralino_mass,sneutrino_mass,gluino_mass,Cha1_mass,Mzp_mass,stau_mass,selectron_mass,stop_mass,sbottom_mass,smuon_mass,h1_mass,BtoXsgamma,Bstomumu,BRBtotaunu,DD,relic_density
2457.5,2471.1,2248.1,51.232,1.0604,16541,-1,0.51298,0.11035,1101.29082,1517.42097,5159.46242,2028.64383,5966.64865,2685.72922,1786.57111,4994.65637,4886.0438,2439.22107,123.666549,0.000317538445,3.41968895E-09,0.96771144,1.652E-11,0.551
2457.8,2470.2,2240.3,51.547,1.0719,16528,1,0.51507,0.095167,1101.48342,2409.75211,5157.66314,2028.08892,5962.49543,2692.70643,1784.25965,4996.24516,4873.63443,2415.60232,122.15249,0.000317524182,3.42560252E-09,0.967387492,1.651E-11,0.576
2452.2,2458.3,2234.8,52.096,1.0793,16529,-1,0.53333,0.094469,1095.65758,2371.40255,5134.31146,2019.51293,5963.35604,2693.42271,1763.46296,4979.44529,4845.48532,2379.08788,123.290191,0.000317576073,3.44373487E-09,0.997982861,1.633E-11,0.585
2455,2461.8,2241.7,51.933,1.076,16529,-1,0.53341,0.098822,1097.27041,2382.52618,5141.08702,2022.31009,5963.3785,2694.20702,1769.53202,4984.74148,4854.82575,2390.58555,123.367446,0.000317557007,3.4392135E-09,0.966698775,1.63E-11,0.571
2454.2,2471.4,2236.5,50.899,1.0692,16523,-1,0.50695,0.10271,1101.47225,2243.39856,5159.94689,2029.36017,5960.84013,2688.277,1808.74213,4995.71471,4877.77516,2429.69048,123.411627,0.000317396063,3.40663549E-09,0.998127642,1.627E-11,0.778
2457.3,2470.7,2245.8,50.769,1.0697,16546,-1,0.52013,0.10469,1101.26313,2198.56892,5158.4903,2029.195,5969.23058,2692.4501,1817.58636,4996.40169,4875.875,2428.70536,123.462702,0.000317334269,3.40087559E-09,0.969194438,1.61E-11,0.974
2452.1,2467.3,2238.4,51.024,1.065,16528,1,0.52601,0.11295,1100.28317,2420.77502,5151.64092,2026.65459,5962.48562,2682.91039,1799.30705,4987.45361,4871.72274,2426.25225,122.094397,0.00031738502,3.41707888E-09,0.968620316,1.606E-11,0.777
2452.9,2466.1,2242.2,51.502,1.0714,16538,1,0.53391,0.10736,1099.81876,2399.11904,5149.07925,2026.06084,5966.36815,2688.62151,1784.12713,4988.00363,4863.31055,2404.97172,122.259959,0.000317443213,3.42764287E-09,0.999990662,1.599E-11,0.648
2451.6,2465.9,2237.2,52.34,1.0784,16528,-1,0.54281,0.10581,1099.32259,2366.42669,5148.20849,2026.78028,5963.49259,2693.88176,1751.3381,4989.52816,4855.6341,2374.45446,123.360011,0.00031759377,3.44962703E-09,0.997965966,1.595E-11,0.669
2447.8,2461.1,2233.6,52.104,1.0796,16535,1,0.53563,0.10132,1097.49169,2367.4435,5139.19832,2022.47773,5965.42455,2689.16127,1760.23681,4980.95879,4846.00714,2373.9032,122.351591,0.000317525702,3.44335148E-09,0.966610385,1.592E-11,0.596
2453.6,2470.7,2238.6,51.217,1.0737,16519,1,0.50933,0.11103,1101.75636,2406.00676,5158.39419,2030.19159,5959.33053,2689.83105,1797.78561,4995.23419,4871.32011,2412.22671,122.18136,0.000317373178,3.412265E-09,0.999990864,1.578E-11,0.832
2457.9,2472.8,2234.8,51.335,1.073,16529,1,0.51108,0.11775,1102.83974,2407.10388,5162.51436,2032.57516,5963.0223,2693.7054,1795.47285,4999.99663,4876.64724,2413.35766,122.180167,0.000317374226,3.41452235E-09,0.968373838,1.557E-11,0.819
2454.6,2468.8,2239.3,51.383,1.0741,16523,1,0.51961,0.11699,1101.00442,2398.4613,5154.6033,2029.36263,5960.89908,2691.44131,1792.08418,4993.19636,4867.37963,2404.73357,122.226832,0.000317366576,3.41511416E-09,0.968311841,1.553E-11,0.841
2460.5,2472.7,2244.2,51.233,1.078,16550,-1,0.51947,0.11253,1102.37952,2397.81563,5162.26007,2032.66881,5971.11695,2701.30909,1806.31415,5002.90148,4872.4811,2405.7013,123.282971,0.000317325853,3.40761111E-09,0.9981276,1.551E-11,1
2443.2,2088.2,1363.7,54.876,1.0467,17512,1,0.61593,0.18409,928.118695,1422.41855,4432.83158,1723.52618,6306.82577,2623.12665,1662.76965,4455.54141,4328.54883,2205.41664,123.550027,0.000317255733,3.61897327E-09,0.997314169,1.542E-11,0.928
2452.6,2462.6,2237.5,52.326,1.0883,16529,1,0.53532,0.10876,1098.29477,2347.25652,5142.1664,2025.29889,5963.67622,2699.81011,1760.39321,4987.63662,4842.26872,2354.45169,122.426455,0.000317459261,3.44230904E-09,0.966713905,1.527E-11,0.653
2051.2,2577.1,3659.5,50.607,1.0728,16937,-1,0.70656,0.094794,1148.74793,2052.14033,5321.36604,2112.39486,6126.13897,2365.49204,1399.71442,4967.948,4812.44565,2062.11793,123.497692,0.000317634483,3.36432185E-09,0.999991533,1.429E-11,0.671
2053.5,2570.9,3665.1,50.948,1.0792,16954,-1,0.70714,0.097992,1146.21659,2026.96538,5308.83801,2108.12604,6132.81699,2371.92531,1391.40902,4960.96054,4796.62082,2037.51106,123.330656,0.000317622711,3.36777453E-09,0.998229052,1.409E-11,0.671
2050,2575.2,3661.6,51.21,1.0837,16961,1,0.69747,0.089257,1148.43306,2016.11172,5318.07807,2111.35201,6133.95791,2370.97484,1377.65342,4967.68819,4798.5691,2025.16153,122.598906,0.000317649079,3.37351579E-09,0.999991327,1.379E-11,0.771
2055.9,2575,3662.5,50.868,1.076,16946,1,0.70208,0.098212,1148.27566,2042.15885,5318.53346,2111.09615,6128.49843,2370.09313,1390.22191,4968.03249,4808.16246,2050.41248,122.828327,0.000317627473,3.36862856E-09,0.999991459,1.375E-11,0.715
2791.1,2886.3,4988,49.648,1.1911,12591,1,0.49058,0.061645,1292.3142,2655.67685,5951.39881,2363.82854,4557.85955,3078.53701,1819.99793,5740.42939,5582.6964,2661.94123,122.21354,0.00031764686,3.2780975E-09,0.99999289,1.344E-11,1
2321,2160.5,-40.079,54.858,1.0619,18830,-1,0.5859,-0.0083835,961.92783,2133.05846,4565.49009,1787.65673,6778.61747,2538.02831,1599.47543,4504.23557,4352.89121,2139.86488,123.495699,0.000316898998,3.79797587E-09,0.954503753,1.327E-11,0.952
2323.3,2162.5,-41.466,54.395,1.0597,18826,-1,0.58967,-0.003484,962.813702,2149.36898,4569.393,1789.22553,6777.38854,2539.31915,1620.22873,4507.25838,4359.34881,2155.84309,123.588411,0.00031678371,3.76342105E-09,0.95603746,1.319E-11,0.602
2325,2164.8,-44.871,53.748,1.0536,18833,1,0.57794,0.0076628,964.032849,2180.41459,4574.30124,1790.78537,6778.68321,2534.54193,1638.72772,4508.71937,4371.55307,2184.77819,123.621232,0.000316726999,3.73184445E-09,0.999987637,1.299E-11,0.541
2321.4,2166.2,-44.662,54.243,1.0565,18827,1,0.58701,0.00054836,964.780762,2159.23135,4576.44194,1792.15246,6777.28825,2534.7717,1618.49574,4510.20701,4366.65259,2164.02335,123.585294,0.000316800028,3.76137646E-09,0.997371942,1.295E-11,0.643
2327.3,2169.7,-41.632,53.831,1.0558,18832,1,0.58594,0.013428,966.403333,2173.87024,4583.46668,1795.05616,6779.15129,2539.99161,1640.32348,4517.60651,4375.47638,2178.49974,123.609307,0.000316687967,3.72807432E-09,0.957726545,1.281E-11,0.555
2325.3,2164.9,-43.563,54.294,1.0647,18828,-1,0.58627,0.01736,963.993372,2138.45409,4574.05629,1791.47923,6778.29439,2540.42385,1631.45188,4513.44231,4357.25943,2145.53335,123.449611,0.000316640195,3.73922674E-09,0.997424182,1.28E-11,0.582
2325.8,2165.7,-48.508,54.457,1.0615,18847,1,0.57156,0.023843,964.487413,2146.48288,4576.15041,1791.98313,6783.61251,2542.01512,1615.86656,4513.61692,4363.70365,2152.10833,123.368111,0.000316785308,3.76505714E-09,0.997355734,1.279E-11,0.603
2323.2,2169.3,-43.495,53.863,1.0615,18852,-1,0.57812,0.03032,965.871213,2156.71327,4582.56653,1794.95214,6786.27477,2540.93039,1644.95542,4517.21383,4367.97508,2163.44995,123.495283,0.000316591682,3.7148691E-09,0.958229475,1.275E-11,0.664
2320.6,2166.3,-38.505,54.305,1.0678,18852,-1,0.57865,0.024147,964.572813,2126.8759,4576.6008,1792.66381,6786.64172,2530.69326,1631.00809,4514.29979,4353.54881,2134.39698,123.33899,0.000316589973,3.7317055E-09,0.997443748,1.26E-11,0.659
2322.1,2163.1,-40.56,54.596,1.0715,18853,-1,0.57599,0.018069,963.153731,2110.91283,4570.65197,1790.15557,6786.99517,2522.34269,1622.5005,4512.07621,4344.89429,2118.87285,123.247915,0.000316603581,3.74529232E-09,0.999987439,1.254E-11,0.64
2326.1,2166.6,-45.356,54.929,1.0691,18840,1,0.57876,0.027661,965.075463,2113.57519,4577.51962,1793.15523,6782.12534,2530.24712,1604.08862,4518.06379,4353.75906,2120.28389,123.247649,0.000316743621,3.77754907E-09,0.999987057,1.249E-11,0.603
2014,2018.9,267.22,58.819,1.0658,19338,1,0.67798,0.18455,897.179286,1694.69067,4271.49336,1668.99945,6966.61473,2141.18915,1253.76739,4159.30946,3968.72983,1706.48267,122.817184,0.000316616889,4.0685439E-09,0.943789892,1.247E-11,0.833
2322.6,2174.1,-47.527,54.277,1.0695,18845,-1,0.57072,0.024382,968.171922,2128.70495,4591.68496,1799.25598,6784.05821,2533.13573,1634.4329,4526.70865,4364.60157,2136.44376,123.288957,0.000316577325,3.72594837E-09,0.999987723,1.243E-11,0.697
2322.9,2164.6,-44.365,54.768,1.0713,18832,1,0.58173,0.021079,964.167989,2106.22144,4573.38979,1791.5116,6779.52807,2521.04778,1612.64467,4514.49493,4345.86697,2113.22121,123.21422,0.000316633215,3.75821108E-09,0.999987311,1.234E-11,0.605
2321.6,2166.7,-52.465,54.234,1.0682,18853,1,0.56907,0.022055,964.980204,2127.70282,4577.66696,1793.0527,6786.10018,2530.6835,1631.47305,4515.4169,4354.14471,2134.31278,123.217894,0.000316564285,3.7284022E-09,0.957675807,1.233E-11,0.722
2324.5,2170.4,-50.421,54.061,1.0683,18854,1,0.56338,0.025595,966.631653,2135.23617,4585.02799,1796.10967,6786.29906,2535.45681,1640.89535,4521.96757,4361.57485,2141.87468,123.207181,0.00031653179,3.71483166E-09,0.999987869,1.226E-11,0.822
2324.9,2164.3,-44.062,55.043,1.0758,18844,1,0.57235,0.022774,963.982695,2090.76565,4573.18526,1791.40665,6783.58947,2513.38851,1605.43841,4516.87422,4341.63369,2098.48758,123.10741,0.000316645697,3.76833634E-09,0.997346024,1.224E-11,0.609
2015.9,2021,263.35,58.439,1.0656,19348,1,0.68252,0.19042,898.293174,1700.3046,4275.24533,1670.94784,6971.13409,2140.57987,1274.89924,4162.9262,3971.64486,1712.15847,122.855436,0.000316434525,4.01089387E-09,0.996746639,1.207E-11,0.588
1583.3,2457.3,1797.7,50.356,1.0277,16814,-1,0.47365,0.30931,1092.96193,1233.73715,5081.82339,2022.22649,6064.00662,1877.36493,1193.53137,4604.23515,4547.59866,1875.33492,122.430842,0.000317104292,3.46949035E-09,0.999990978,1.074E-11,0.998
1657.5,2098.7,-664.95,55.043,1.1024,14262,-1,0.69513,0.094471,932.898968,1619.10878,4401.88803,1733.71502,5148.95494,1934.68766,1153.99897,4114.88421,3962.30299,1638.59663,122.992818,0.000315935109,3.98025403E-09,0.953126139,9.99E-12,0.634
2421.4,2176.9,-670,55.207,1.1626,13441,1,0.57213,0.047188,971.434042,2140.66798,4603.98646,1806.83156,4848.06915,2596.60778,1627.6294,4584.83378,4405.73909,2151.27487,123.218696,0.000316404206,3.80552289E-09,0.99734359,9.927E-12,0.939
2032.1,2128.4,-101.61,56.188,1.0478,15960,1,0.51662,0.26788,947.166129,1932.14772,4486.16992,1762.77821,5747.35031,2234.45278,1317.60707,4307.47631,4216.55978,1945.61213,122.285509,0.000316808266,3.89078323E-09,0.951181958,9.913E-12,0.698
2032.1,2128.5,-107.24,56.196,1.0549,15960,1,0.52252,0.26133,947.174146,1917.43727,4486.32815,1762.75254,5747.57882,2240.41412,1320.74879,4309.89046,4209.255,1930.22735,122.160728,0.00031672791,3.8819586E-09,0.999985916,9.902E-12,0.704
