m0,m12,A0,tanbeta,tanbetaR,VR,signmuR,Ys,Yv,neutralino_mass,sneutrino_mass,gluino_mass,Cha1_mass,Mzp_mass,stau_mass,selectron_mass,stop_mass,sbottom_mass,smuon_mass,h1_mass,BtoXsgamma,Bstomumu,BRBtotaunu,DD,relic_density
1835.4,2918.3,4229.5,20.533,1.0749,18309,-1,0.51598,0.12129,1303.79629,2086.8592,5963.44046,2392.72773,6614.88997,2243.08672,2094.50505,5395.66051,5256.06072,2242.56934,122.903617,0.000316835934,3.21633313E-09,0.99940268,1.164E-11,27
2758.4,1375.2,903.59,52.05,1.0784,16592,1,0.68488,0.24565,605.92736,2124.82117,3075.83102,1142.26759,5965.9901,2583.35913,2035.82011,3753.74495,3523.81491,2160.36884,122.279233,0.000312814485,3.34737199E-09,0.964747822,1.144E-11,45.4
2749.7,2940.1,-1219.7,57.8,1.0338,13444,-1,0.2624,0.16292,1326.17958,2790.57028,6065.06788,2452.15865,4873.23613,2979.38213,1530.78812,5785.01691,5748.33121,2799.36809,123.005412,0.000319474609,4.08438145E-09,0.997004739,7.143E-12,6.02
1189.7,2107.2,-1559.6,32.519,1.0253,16076,-1,0.57974,0.026319,932.586935,1664.18159,4397.57322,1735.68153,5784.87197,1480.5853,1183.39018,3947.05335,3889.76865,1479.58421,123.767734,0.000314966342,3.29944135E-09,0.984294409,6.182E-12,11.6
1401.4,1909.2,457.13,30.025,1.0606,12513,-1,0.68833,0.34653,843.130588,1637.3915,4023.63694,1569.95008,4515.70494,1637.90958,1473.44866,3711.08863,3623.44207,1637.32674,122.893078,0.000315790366,3.24953147E-09,0.999114713,9.966E-12,15.3
2790.9,1033.4,-4445.7,50.117,1.1246,13764,-1,0.59318,0.40397,460.975602,1611.96983,2402.96551,881.497708,4932.07117,2342.94881,1491.53701,3420.49989,3168.59881,1669.68839,122.327033,0.000306090462,3.39057882E-09,0.998421997,1.169E-12,45.1
1710,2085.3,705.46,51.232,1.0891,15550,-1,0.67139,0.47092,929.605708,1513.06101,4372.85339,1726.23744,5617.72973,1830.64289,1318.00099,4107.92637,3949.25154,1555.79172,122.352287,0.000314921913,3.34438591E-09,0.998269783,5.934E-12,16.3
2372.1,2939.2,-5447.9,14.379,1.082,19686,-1,0.50385,0.046642,1326.64052,2766.14698,6034.60128,2453.26826,7094.14529,2729.57319,2579.25441,5645.57445,5469.97512,2729.04325,125.338361,0.000315389704,3.22655401E-09,0.999997398,1.699E-12,41.2
2741.1,1864.8,-7685.2,20.058,1.1095,13419,-1,0.66181,0.14984,835.603693,1581.50588,4023.88813,1568.06248,4812.20445,2665.9918,2448.45,4360.51438,4125.83755,2552.15148,126.565903,0.000312199473,3.23425816E-09,0.999428078,7.921E-13,43.7
1134.1,2694.3,-1928.7,50.484,1.0254,17089,1,0.37723,0.22908,1196.78767,1510.95337,5509.94203,2231.13519,6175.11841,1569.41913,634.613358,4839.79748,4793.7427,1566.62027,122.191773,0.000316413645,3.60705043E-09,0.969730142,5.82E+032,0.0136
1260.8,2891.9,-1686.4,17.217,1.0845,13204,1,0.57833,0.079877,1295.34901,2151.82714,5892.64297,2388.14129,4776.86403,1745.23793,1649.0787,5182.16204,5099.44875,1744.90273,123.31735,0.000316201947,3.22033532E-09,0.990481893,4.605E-12,20.7
1717.8,2379.4,233.3,22.579,1.1168,15433,-1,0.68012,0.068534,950.239644,2032.38918,4940.43717,1960.35727,5577.47234,2056.89132,1946.99844,4556.33901,4383.40129,2044.23417,122.960494,0.000316185644,3.22774447E-09,0.989258228,6.853E-16,232
2316.4,2912.4,-4705.8,31.081,1.1089,13785,-1,0.43475,0.13115,1313.69207,2577.93973,5981.17097,2431.79898,4979.54299,2635.54609,1998.32768,5572.96491,5458.32515,2587.07855,125.381278,0.000314645732,3.24862487E-09,0.988656909,1.645E-12,33.1
1674,2817.8,-1741.3,43.851,1.083,16209,-1,0.64154,0.040253,1265.55256,2084.32991,5765.7247,2335.58923,5861.50007,2080.44007,1431.4568,5194.49208,5069.39113,2078.31613,124.47678,0.000315480921,3.30319491E-09,0.998872904,4.202E-12,10.2
2642.6,2548.1,3361,34.886,1.0818,19119,-1,0.65882,0.40172,1143.18211,2454.37014,5305.53334,2115.06128,6911.18583,2684.13689,2434.16904,5197.1097,4997.89931,2514.32265,123.511908,0.000315649978,3.22905669E-09,0.999250016,4.364E-12,45
2212.4,1071.8,-5448.5,35.508,1.0717,14334,-1,0.60874,0.50581,477.505753,1157.82103,2447.54655,910.95119,5132.63108,1716.26131,1151.99871,3013.56962,2803.21651,1440.36229,122.422888,0.000308025374,3.27739096E-09,0.983527377,1.092E-12,26.6
2291.6,1410.8,-3300.6,35.291,1.1058,14607,1,0.45288,0.42355,625.927985,1707.8744,3125.47826,1183.1138,5237.43184,2029.64911,1743.49143,3480.60717,3294.9477,1952.11138,123.009432,0.000311278901,3.2732447E-09,0.999995514,1.947E-12,40.1
2083.5,1266,-452.41,52.561,1.0616,18726,1,0.70403,0.16229,555.227768,1575.03903,2822.48163,1047.7517,6720.87348,1935.59443,1501.31634,3170.21579,2924.21819,1607.17282,122.03289,0.000309731449,3.67650408E-09,0.952405675,1.47E-11,24
2183.8,1742.5,-6317.3,28.676,1.0568,13303,-1,0.23901,0.39322,777.91988,952.279396,3759.54832,1462.89528,4775.7498,2049.96376,1530.33454,3843.54657,3765.53883,1699.76742,124.016493,0.000312030802,3.23251205E-09,0.999297996,8.824E-13,24.4
2091.4,1947.3,398.56,23.931,1.1148,13916,1,0.67884,0.24399,863.596778,2122.56449,4142.18826,1608.44209,5019.34522,2187.96451,2117.49248,4085.19402,3912.5541,2187.73044,122.559592,0.000315710443,3.2259035E-09,0.988656503,9.353E-12,32.7
2278.6,2228.9,-2638.6,14.731,1.0675,16997,-1,0.71906,0.07137,996.368261,2460.64984,4689.03232,1852.87142,6133.88463,2499.59827,2432.08745,4575.76481,4408.4933,2470.5989,125.351562,0.000315707614,3.22543256E-09,0.990692835,4.453E-12,39.2
2464.7,2895,-4160,23.317,1.1129,19966,1,0.49503,0.14244,1306.95329,2641.57821,5957.36877,2416.33633,7201.74805,2789.95892,2523.28589,5629.6331,5405.66952,2653.87418,125.666984,0.000315038102,3.23163191E-09,0.990156067,1.813E-12,80.3
1750.1,1813.3,-2922.4,31.367,1.0693,17457,-1,0.60065,0.30699,804.451315,1593.9657,3863.76637,1505.35211,6271.19414,1787.58754,1545.23417,3739.7633,3565.13708,1647.6876,123.655962,0.000313246919,3.27431156E-09,0.99999595,3.011E-12,21.2
2622.8,2197.9,-5145.2,39.27,1.0633,17396,-1,0.39397,0.39304,989.442488,2083.72051,4657.19785,1847.46843,6259.5938,2585.7856,1744.9208,4711.2593,4585.40561,2104.33244,122.412556,0.000313384442,3.28907842E-09,0.999995747,1.192E-12,32.9
2620.3,2311.8,1930.3,43.682,1.0726,17067,-1,0.5475,0.46423,1035.22252,2282.13312,4865.48305,1923.6951,6159.37857,2626.21101,2174.23575,4852.6076,4712.37517,2327.7027,123.412359,0.000315059947,3.26384256E-09,0.999995192,3.593E-12,40.7
1733.7,2207.3,-4055.9,15.908,1.0945,16385,-1,0.50898,0.046733,982.849268,1963.65609,4618.74207,1830.16411,5889.67443,2031.27784,1890.76672,4317.54909,4146.98274,1974.95889,124.760313,0.000315194265,3.22759502E-09,0.990553521,2.567E-12,23.8
2718.8,2015.6,-3460.4,30.762,1.0515,14976,-1,0.29806,0.41482,903.359252,2490.40838,4322.60599,1691.41314,5396.04086,2709.05275,2406.23728,4504.57216,4429.55137,2512.11012,123.240261,0.000314033698,3.22733271E-09,0.988041706,1.795E-12,51.1
2902.5,2881,-2856.1,8.3849,1.0743,13479,-1,0.49121,0.41436,1302.96731,2542.48445,5963.29355,2411.99194,4875.44426,3146.12967,3112.23061,5772.92956,5685.18038,3146.12831,123.803379,0.000316124103,3.21391574E-09,0.991219753,3.39E-12,58.7
2990.2,2497.4,-1051.7,21.564,1.1479,17013,-1,0.5392,0.05039,1120.49135,3067.9311,5251.87704,2079.76621,6137.75182,3146.30872,3059.6811,5326.14596,5105.6925,3102.46139,123.895147,0.000315447004,3.22594915E-09,0.999997151,6.411E-12,63.5
1091.3,2666.2,-1955.5,49.553,1.0353,17071,1,0.45206,0.20719,934.347271,1724.83765,5455.71093,2206.11717,6164.43398,1547.00107,649.122526,4790.73852,4728.39762,1544.28856,122.512365,0.000316123776,3.61768469E-09,0.998293628,5.317E+032,0.014
2253.6,1855.3,-1565.1,52.17,1.1254,13956,-1,0.66781,0.068922,824.840232,1911.80432,3977.06435,1542.04521,5028.44042,2328.22564,1559.89084,4052.60324,3861.67193,1924.72563,123.38084,0.000313660907,3.74121885E-09,0.999988706,7.979E-12,18.4
2742.7,2737.3,-1769.8,42.362,1.0583,12936,-1,0.51411,0.20956,1232.3124,1663.34207,5682.0507,2284.62652,4676.18201,2967.38496,2255.44466,5499.40871,5425.90234,2861.32058,125.312244,0.000315194398,3.30703946E-09,0.999001993,4.2E-12,39.7
2036.3,2046.7,-4011.2,35.131,1.1366,13011,1,0.69971,0.32942,916.804158,1728.54294,4322.17162,1708.3024,4694.55986,2054.90041,1611.2825,4209.75212,4018.72385,1765.45745,125.003866,0.000313228763,3.2904644E-09,0.985659795,1.823E-12,24.2
2662.5,1533.9,-5902.9,9.6747,1.1723,17178,1,0.60377,0.36032,684.846422,2067.72933,3387.31829,1290.59943,6159.04716,2102.13932,2062.49177,3922.35937,3519.57791,2101.99976,124.571403,0.000315063294,3.22323353E-09,0.999470937,1.523E-12,59.3
2480.4,2903.2,-7248.8,9.0292,1.197,19312,-1,0.44426,0.23084,1163.60748,2444.14444,5972.13097,2426.95099,6957.23501,2492.27868,2448.04428,5678.02788,5332.88562,2492.1232,125.940587,0.000315541193,3.22512055E-09,0.999997472,5.178E-16,36.4
1124.3,2780.2,1595.2,11.412,1.0378,14484,-1,0.62464,0.20541,1239.25418,2079.90718,5674.09574,2279.6289,5241.32984,1590.80162,1566.94211,4965.14264,4912.22186,1590.7178,123.353357,0.000317322232,3.22399008E-09,0.99088401,1.257E-11,15.4
2640.1,2431.4,-1532.4,35.823,1.0873,14684,-1,0.6271,0.16712,1090.37007,2689.09117,5098.79664,2025.16184,5301.17254,2864.63829,2416.31904,5033.90869,4899.2476,2699.19308,124.813351,0.000314766185,3.2659684E-09,0.986104677,4.964E-12,44.1
